,L1000 Signature ID,Drug,Up/Down,Dose,Cell line,Time point,Mean Pearson Correlation
0,REP.B016_THP1_24H_A19_palbociclib_2.22uM down,palbociclib,down,2.22uM,THP1,24H,0.22592276
1,CPD003_MCF7_24H_G01_fluorouracil_10uM down,fluorouracil,down,10uM,MCF7,24H,0.21683468
2,REP.A016_JURKAT_24H_A19_palbociclib_10uM down,palbociclib,down,10uM,JURKAT,24H,0.21424589
3,REP.B018_A375_24H_J19_AMG-232_2.22uM down,AMG-232,down,2.22uM,A375,24H,0.21319427
4,REP.B016_JURKAT_24H_A19_palbociclib_2.22uM down,palbociclib,down,2.22uM,JURKAT,24H,0.21065862
5,ERG005_VCAP_24H_C12_sirolimus_20uM down,sirolimus,down,20uM,VCAP,24H,0.20663004
6,DPK.CP001_A549_24H_L04_nutlin-3_10uM down,nutlin-3,down,10uM,A549,24H,0.2043536
7,REP.B018_A375_24H_C08_RG-7388_0.74uM down,RG-7388,down,0.74uM,A375,24H,0.20251021
8,REP.B016_THP1_24H_A20_palbociclib_0.74uM down,palbociclib,down,0.74uM,THP1,24H,0.20169379
9,DOS012_VCAP_24H_B08_BRD-K39597586_4uM down,BRD-K39597586,down,4uM,VCAP,24H,0.19981126
10,ERG005_VCAP_24H_K05_estradiol_20uM down,estradiol,down,20uM,VCAP,24H,0.19923258
11,REP.A016_HT29_24H_A19_palbociclib_10uM down,palbociclib,down,10uM,HT29,24H,0.19847581
12,REP.A016_HT29_24H_E03_R-547_1.11uM down,R-547,down,1.11uM,HT29,24H,0.19793117
13,REP.A016_HT29_24H_A22_palbociclib_0.37uM down,palbociclib,down,0.37uM,HT29,24H,0.19781294
14,MUC.CP002_NKDBA_24H_I01_SA-1922659_10uM down,SA-1922659,down,10uM,NKDBA,24H,0.19773784
15,REP.B004_A375_24H_E14_KPT-330_0.74uM down,KPT-330,down,0.74uM,A375,24H,0.1972236
16,REP.B012_MCF10A_24H_O20_cobimetinib_0.74uM down,cobimetinib,down,0.74uM,MCF10A,24H,0.19690682
17,CRCGN006_HEPG2_24H_O04_mitoxantrone_0.74uM down,mitoxantrone,down,0.74uM,HEPG2,24H,0.19682781
18,REP.B016_A375_24H_E02_R-547_0.74uM down,R-547,down,0.74uM,A375,24H,0.19611289
19,CPC001_VCAP_24H_C02_T-98475_10uM down,T-98475,down,10uM,VCAP,24H,0.19602427
20,REP.A016_JURKAT_24H_A20_palbociclib_3.33uM down,palbociclib,down,3.33uM,JURKAT,24H,0.19562097
21,ASG003_XC.L10_24H_K16_palbociclib_10uM down,palbociclib,down,10uM,XC.L10,24H,0.19488662
22,REP.A016_HT29_24H_A21_palbociclib_1.11uM down,palbociclib,down,1.11uM,HT29,24H,0.19360487
23,DOS012_VCAP_24H_H01_BRD-K60019754_4uM down,BRD-K60019754,down,4uM,VCAP,24H,0.19299598
24,ERG005_VCAP_24H_D11_tanespimycin_4uM down,tanespimycin,down,4uM,VCAP,24H,0.19199193
25,LJP008_THP1_24H_O03_PD-0325901_1.11uM down,PD-0325901,down,1.11uM,THP1,24H,0.19168825
26,ERG005_VCAP_24H_C02_wortmannin_20uM down,wortmannin,down,20uM,VCAP,24H,0.1915103
27,ASG003_XC.P911_24H_K16_palbociclib_10uM down,palbociclib,down,10uM,XC.P911,24H,0.19143769
28,REP.B016_THP1_24H_E02_R-547_0.74uM down,R-547,down,0.74uM,THP1,24H,0.19134694
29,REP.A005_A549_24H_G22_TAS-103_0.37uM down,TAS-103,down,0.37uM,A549,24H,0.19056328
30,ASG003_XC.L10_24H_K17_palbociclib_1.11uM down,palbociclib,down,1.11uM,XC.L10,24H,0.19054835
31,REP.B012_MCF10A_24H_O19_cobimetinib_2.22uM down,cobimetinib,down,2.22uM,MCF10A,24H,0.1903117
32,MOAR010_MELHO_24H_K08_SAR405838_3.33uM down,SAR405838,down,3.33uM,MELHO,24H,0.19007258
33,REP.B017_MCF10A_24H_I08_Ro-4987655_0.74uM down,Ro-4987655,down,0.74uM,MCF10A,24H,0.18903597
34,REP.B016_MCF10A_24H_D21_BIIB-021_0.25uM down,BIIB-021,down,0.25uM,MCF10A,24H,0.18884489
35,REP.A016_MCF10A_24H_E03_R-547_1.11uM down,R-547,down,1.11uM,MCF10A,24H,0.1886707
36,REP.A018_A549_24H_C08_RG-7388_3.33uM down,RG-7388,down,3.33uM,A549,24H,0.18849187
37,REP.B018_A375_24H_C07_RG-7388_2.22uM down,RG-7388,down,2.22uM,A375,24H,0.18775302
38,DOS011_VCAP_24H_M09_geldanamycin_10uM down,geldanamycin,down,10uM,VCAP,24H,0.18775204
39,REP.A018_A549_24H_J20_AMG-232_3.33uM down,AMG-232,down,3.33uM,A549,24H,0.18733604
40,ASG003_XC.P026_24H_K16_palbociclib_10uM down,palbociclib,down,10uM,XC.P026,24H,0.18716595
41,REP.A016_MDAMB231_24H_A20_palbociclib_3.33uM down,palbociclib,down,3.33uM,MDAMB231,24H,0.18671252
42,REP.A016_A549_24H_E03_R-547_1.11uM down,R-547,down,1.11uM,A549,24H,0.18670732
43,REP.A016_HT29_24H_A20_palbociclib_3.33uM down,palbociclib,down,3.33uM,HT29,24H,0.18657662
44,MUC.CP002_NKDBA_24H_F07_TWS-119_1.67uM down,TWS-119,down,1.67uM,NKDBA,24H,0.18624495
45,CPC011_VCAP_24H_C02_wortmannin_10uM down,wortmannin,down,10uM,VCAP,24H,0.18614756
46,ASG003_XC.P930_24H_K16_palbociclib_10uM down,palbociclib,down,10uM,XC.P930,24H,0.18613872
47,LJP001_BT20_24H_M10_palbociclib_2.22uM down,palbociclib,down,2.22uM,BT20,24H,0.18605709
48,LJP008_THP1_24H_O05_PD-0325901_0.12uM down,PD-0325901,down,0.12uM,THP1,24H,0.18488258
49,ASG003_XC.P026_24H_K17_palbociclib_1.11uM down,palbociclib,down,1.11uM,XC.P026,24H,0.18458293
50,ASG003_XC.P033_24H_K17_palbociclib_1.11uM down,palbociclib,down,1.11uM,XC.P033,24H,0.1843224
